날짜,종가,거래량
2024-01-02,10000,1200000
2024-01-03,10120,980000
2024-01-04,10050,1100000
2024-01-05,10200,1300000
2024-01-08,10100,1050000
2024-01-09,10350,1400000
2024-01-10,10300,1250000
2024-01-11,10480,1320000
2024-01-12,10420,1180000
2024-01-15,10550,1500000
2024-01-16,10400,1280000
2024-01-17,10600,1600000
2024-01-18,10520,1350000
2024-01-19,10700,1450000
2024-01-22,10650,1300000
2024-01-23,10800,1550000
2024-01-24,10720,1380000
2024-01-25,10900,1620000
2024-01-26,10850,1400000
2024-01-29,11000,1700000
2024-01-30,10900,1480000
2024-01-31,11100,1750000
2024-02-01,11050,1520000
2024-02-02,11200,1680000
2024-02-05,11100,1450000
2024-02-06,11350,1800000
2024-02-07,11280,1580000
2024-02-08,11450,1720000
2024-02-09,11400,1500000
2024-02-12,11550,1850000
2024-02-13,11480,1620000
2024-02-14,11600,1780000
2024-02-15,11550,1550000
2024-02-16,11700,1900000
2024-02-20,11650,1650000
2024-02-21,11800,1950000
2024-02-22,11750,1700000
2024-02-23,11900,2000000
2024-02-26,11850,1750000
2024-02-27,12000,2050000
2024-02-28,11920,1820000
2024-02-29,12100,2100000
2024-03-01,12050,1880000
2024-03-04,12200,2150000
2024-03-05,12150,1920000
2024-03-06,12350,2200000
2024-03-07,12300,1980000
2024-03-08,12450,2250000
2024-03-11,12400,2050000
2024-03-12,12550,2300000
2024-03-13,12500,2100000
2024-03-14,12650,2350000
2024-03-15,12600,2150000
2024-03-18,12750,2400000
2024-03-19,12700,2200000
2024-03-20,12850,2450000
2024-03-21,12800,2250000
2024-03-22,12950,2500000
2024-03-25,12900,2300000
2024-03-26,13050,2550000
2024-03-27,13000,2350000
2024-03-28,13150,2600000
2024-03-29,13100,2400000
2024-04-01,13250,2650000
2024-04-02,13200,2450000
2024-04-03,13350,2700000
2024-04-04,13300,2500000
2024-04-05,13450,2750000
2024-04-08,13400,2550000
2024-04-09,13550,2800000
2024-04-10,13500,2600000
2024-04-11,13650,2850000
2024-04-12,13600,2650000
2024-04-15,13750,2900000
2024-04-16,13700,2700000
2024-04-17,13850,2950000
2024-04-18,13800,2750000
2024-04-19,13950,3000000
2024-04-22,13900,2800000
2024-04-23,14050,3050000
2024-04-24,14000,2850000
2024-04-25,14150,3100000
2024-04-26,14100,2900000
2024-04-29,14250,3150000
2024-04-30,14200,2950000
